coin,n_closes,latest_price,slope_ann_pct,r2,momentum_score,ma100,signal,source
kSHIB,221,0.006168,-19.41,0.1076,-2.0884,0.006228,NEUTRAL,hyperliquid
DASH,221,35.278,-29.46,0.0716,-2.1099,38.27715,NEUTRAL,hyperliquid
ETHFI,221,0.42976,-26.07,0.0864,-2.2538,0.500662,NEUTRAL,hyperliquid
SOL,221,84.193,-22.96,0.1065,-2.4448,90.76757,NEUTRAL,hyperliquid
S,221,0.046604,-26.58,0.0976,-2.5932,0.04649,NEUTRAL,hyperliquid
NOT,221,0.000399,-24.92,0.1113,-2.7733,0.000404,NEUTRAL,hyperliquid
ZETA,221,0.05431,-24.06,0.1217,-2.9282,0.054932,NEUTRAL,hyperliquid
DOGE,221,0.10001,-20.2,0.1487,-3.0047,0.098801,NEUTRAL,hyperliquid
IMX,221,0.17151,-30.47,0.1189,-3.6218,0.168951,NEUTRAL,hyperliquid
XAI,221,0.01101,-30.19,0.122,-3.6827,0.010635,NEUTRAL,hyperliquid
XRP,221,1.3924,-23.04,0.1614,-3.7183,1.463631,NEUTRAL,hyperliquid
ZEN,221,5.8831,-31.31,0.122,-3.8208,6.238861,NEUTRAL,hyperliquid
BIO,221,0.028048,-58.56,0.0723,-4.2351,0.025924,NEUTRAL,hyperliquid
PENDLE,221,1.3236,-37.07,0.1176,-4.3582,1.317287,NEUTRAL,hyperliquid
APEX,214,0.29749,-27.06,0.1725,-4.6689,0.298804,NEUTRAL,hyperliquid
ETC,221,8.4226,-24.18,0.2099,-5.0741,8.866032,NEUTRAL,hyperliquid
HBAR,221,0.089104,-24.56,0.2248,-5.5219,0.094488,NEUTRAL,hyperliquid
LINEA,221,0.003578,-40.93,0.1351,-5.5307,0.003643,NEUTRAL,hyperliquid
BNB,221,624.46,-29.53,0.1885,-5.5683,662.989,NEUTRAL,hyperliquid
SUI,221,0.9319,-31.82,0.1777,-5.6524,1.007029,NEUTRAL,hyperliquid
kPEPE,221,0.003883,-37.05,0.1608,-5.9599,0.003848,NEUTRAL,hyperliquid
AR,221,1.8904,-45.87,0.13,-5.9636,2.046206,NEUTRAL,hyperliquid
STBL,221,0.033305,-34.63,0.1729,-5.9855,0.037102,NEUTRAL,hyperliquid
SUPER,221,0.12442,-38.61,0.1572,-6.0694,0.127144,NEUTRAL,hyperliquid
kBONK,221,0.006213,-31.74,0.2073,-6.5805,0.006437,NEUTRAL,hyperliquid
VINE,221,0.016266,-41.99,0.1859,-7.8063,0.018779,NEUTRAL,hyperliquid
ENS,221,6.0756,-34.77,0.225,-7.8223,6.419273,NEUTRAL,hyperliquid
SNX,221,0.31527,-40.44,0.1954,-7.9005,0.321794,NEUTRAL,hyperliquid
YGG,221,0.041484,-37.81,0.2134,-8.0685,0.042307,NEUTRAL,hyperliquid
xyz:SILVER,124,73.291,-40.48,0.2101,-8.506,81.58218,NEUTRAL,hyperliquid
xyz:GOLD,128,4630.9,-27.56,0.3244,-8.939,4892.084,NEUTRAL,hyperliquid
MEW,221,0.000595,-36.58,0.2485,-9.0911,0.00064,NEUTRAL,hyperliquid
LAYER,221,0.084725,-39.61,0.2319,-9.1854,0.091333,NEUTRAL,hyperliquid
FIL,221,0.92683,-36.91,0.2492,-9.1995,0.970062,NEUTRAL,hyperliquid
PAXG,221,4620.2,-29.28,0.3454,-10.1141,4894.141,NEUTRAL,hyperliquid
PYTH,221,0.048474,-50.27,0.2171,-10.9135,0.048201,NEUTRAL,hyperliquid
0G,221,0.5542,-50.19,0.2368,-11.8849,0.610753,NEUTRAL,hyperliquid
ATOM,221,1.9839,-44.7,0.2852,-12.7479,1.931783,NEUTRAL,hyperliquid
APT,221,0.9735,-54.53,0.236,-12.8696,1.028896,NEUTRAL,hyperliquid
DOT,221,1.2342,-48.61,0.276,-13.4153,1.430097,NEUTRAL,hyperliquid
MAV,221,0.01558,-60.01,0.2344,-14.0623,0.016293,NEUTRAL,hyperliquid
MELANIA,221,0.11099,-38.8,0.364,-14.1235,0.118731,NEUTRAL,hyperliquid
